 2073905 | 16Bm07 Jan 25 05:40:04 17 | 16BP10 F14645_2  | 11:51:50.1  40:59:36 2000 |  80 | u | 1.16 | 1.13 1.14    21 |  OG1301 |  OB1301 |P 1 V Q R|
 2073995 | 16Bm07 Jan 25 23:17:35 17 | 16BP10 F13150_1  |  9:52:51.4  35:48:35 2000 |  80 | u | 1.27 | 0.87 0.90    19 |   OG418 |   OB418 |P 1 V Q R|
 2073996 | 16Bm07 Jan 25 23:19:54 17 | 16BP10 F13151_1  |  9:57:35.8  35:48:35 2000 |  80 | u | 1.27 | 0.83 0.86    18 |   OG421 |   OB421 |P 1 V Q R|
 2073997 | 16Bm07 Jan 25 23:21:59 17 | 16BP10 F13152_1  | 10:02:20.1  35:48:35 2000 |  80 | u | 1.28 | 0.83 0.86    18 |   OG424 |   OB424 |P 1 V Q R|
 2073998 | 16Bm07 Jan 25 23:24:04 17 | 16BP10 F13153_1  | 10:07:04.5  35:48:35 2000 |  80 | u | 1.29 | 0.79 0.83    19 |   OG427 |   OB427 |P 1 V Q R|
 2073999 | 16Bm07 Jan 25 23:26:09 17 | 16BP10 F13154_1  | 10:11:48.9  35:48:35 2000 |  80 | u | 1.30 | 0.81 0.84    18 |   OG430 |   OB430 |P 1 V Q R|
 2074000 | 16Bm07 Jan 25 23:28:14 17 | 16BP10 F13155_1  | 10:16:33.3  35:48:35 2000 |  80 | u | 1.31 | 0.87 0.90    19 |   OG433 |   OB433 |P 1 V Q R|
 2074001 | 16Bm07 Jan 25 23:30:19 17 | 16BP10 F13156_1  | 10:21:17.7  35:48:35 2000 |  80 | u | 1.32 | 0.85 0.88    18 |   OG436 |   OB436 |P 1 V Q R|
 2074002 | 16Bm07 Jan 25 23:32:24 17 | 16BP10 F13157_1  | 10:26:02.1  35:48:35 2000 |  80 | u | 1.33 | 0.96 1.00    19 |   OG439 |   OB439 |P 1 V Q R|
 2074003 | 16Bm07 Jan 25 23:34:30 17 | 16BP10 F13158_1  | 10:30:46.5  35:48:35 2000 |  80 | u | 1.34 | 1.00 1.03    19 |   OG442 |   OB442 |P 1 V Q R|
 2074004 | 16Bm07 Jan 25 23:36:35 17 | 16BP10 F13159_1  | 10:35:30.9  35:48:35 2000 |  80 | u | 1.36 | 1.01 1.04    19 |   OG445 |   OB445 |P 1 V Q R|
 2074005 | 16Bm07 Jan 25 23:44:13 17 | 16BP10 F13160_1  | 10:40:15.3  35:48:35 2000 |  80 | u | 1.34 | 1.18 1.27    19 |   OG448 |   OB448 |P 3 O Q R|
 2074006 | 16Bm07 Jan 25 23:46:25 17 | 16BP10 F13161_1  | 10:44:59.7  35:48:35 2000 |  80 | u | 1.35 | 1.28 1.30    19 |   OG451 |   OB451 |P 3 O Q R|
 2074007 | 16Bm07 Jan 25 23:48:33 17 | 16BP10 F13162_1  | 10:49:44.1  35:48:35 2000 |  80 | u | 1.37 | 1.15 1.19    19 |   OG454 |   OB454 |P 1 V Q R|
 2074008 | 16Bm07 Jan 25 23:50:38 17 | 16BP10 F13163_1  | 10:54:28.5  35:48:35 2000 |  80 | u | 1.38 | 1.11 1.14    19 |   OG457 |   OB457 |P 1 V Q R|
 2074009 | 16Bm07 Jan 25 23:52:42 17 | 16BP10 F13164_1  | 10:59:12.8  35:48:35 2000 |  80 | u | 1.39 | 1.13 1.15    19 |   OG460 |   OB460 |P 1 V Q R|
 2074010 | 16Bm07 Jan 25 23:55:14 17 | 16BP10 F13151_2  |  9:59:14.8  36:08:35 2000 |  80 | u | 1.18 | 1.25 1.27    18 |   OG422 |   OB422 |P 3 O Q R|
 2074011 | 16Bm07 Jan 25 23:58:46 17 | 16BP10 F13152_2  | 10:03:59.2  36:08:35 2000 |  80 | u | 1.18 | 0.88 0.91    18 |   OG425 |   OB425 |P 1 V Q R|
 2074012 | 16Bm07 Jan 26 00:00:51 17 | 16BP10 F13153_2  | 10:08:43.6  36:08:35 2000 |  80 | u | 1.19 | 0.81 0.84    19 |   OG428 |   OB428 |P 1 V Q R|
 2074013 | 16Bm07 Jan 26 00:02:55 17 | 16BP10 F13154_2  | 10:13:28.0  36:08:35 2000 |  80 | u | 1.19 | 0.80 0.83    18 |   OG431 |   OB431 |P 1 V Q R|
 2074014 | 16Bm07 Jan 26 00:05:00 17 | 16BP10 F13155_2  | 10:18:12.4  36:08:35 2000 |  80 | u | 1.20 | 0.84 0.87    18 |   OG434 |   OB434 |P 1 V Q R|
 2074015 | 16Bm07 Jan 26 00:07:05 17 | 16BP10 F13156_2  | 10:22:56.8  36:08:35 2000 |  80 | u | 1.21 | 0.79 0.82    19 |   OG437 |   OB437 |P 1 V Q R|
 2074016 | 16Bm07 Jan 26 00:09:10 17 | 16BP10 F13157_2  | 10:27:41.2  36:08:35 2000 |  80 | u | 1.22 | 0.82 0.86    19 |   OG440 |   OB440 |P 1 V Q R|
 2074017 | 16Bm07 Jan 26 00:11:15 17 | 16BP10 F13158_2  | 10:32:25.6  36:08:35 2000 |  80 | u | 1.22 | 0.80 0.83    18 |   OG443 |   OB443 |P 1 V Q R|
 2074018 | 16Bm07 Jan 26 00:13:20 17 | 16BP10 F13159_2  | 10:37:10.0  36:08:35 2000 |  80 | u | 1.23 | 0.92 0.95    18 |   OG446 |   OB446 |P 1 V Q R|
 2074019 | 16Bm07 Jan 26 00:15:24 17 | 16BP10 F13160_2  | 10:41:54.4  36:08:35 2000 |  80 | u | 1.24 | 0.84 0.88    18 |   OG449 |   OB449 |P 1 V Q R|
 2074020 | 16Bm07 Jan 26 00:17:29 17 | 16BP10 F13161_2  | 10:46:38.7  36:08:35 2000 |  80 | u | 1.25 | 0.85 0.88    18 |   OG452 |   OB452 |P 1 V Q R|
 2074021 | 16Bm07 Jan 26 00:19:34 17 | 16BP10 F13162_2  | 10:51:23.1  36:08:35 2000 |  80 | u | 1.26 | 0.80 0.83    18 |   OG455 |   OB455 |P 1 V Q R|
 2074022 | 16Bm07 Jan 26 00:21:39 17 | 16BP10 F13163_2  | 10:56:07.5  36:08:35 2000 |  80 | u | 1.26 | 0.78 0.86    18 |   OG458 |   OB458 |P 1 V Q R|
 2074023 | 16Bm07 Jan 26 00:23:45 17 | 16BP10 F13164_2  | 11:00:51.9  36:08:35 2000 |  80 | u | 1.27 | 0.81 0.83    19 |   OG461 |   OB461 |P 1 V Q R|
 2074024 | 16Bm07 Jan 26 00:26:01 17 | 16BP10 F13160_1  | 10:40:15.3  35:48:35 2000 |  80 | u | 1.20 | 0.74 0.79    18 |   OG448 |   OB448 |P 1 V Q R|
 2074025 | 16Bm07 Jan 26 00:28:08 17 | 16BP10 F13161_1  | 10:44:59.7  35:48:35 2000 |  80 | u | 1.21 | 0.94 0.97    18 |   OG451 |   OB451 |P 1 V Q R|
 2074026 | 16Bm07 Jan 26 00:31:01 17 | 16BP10 F13151_2  |  9:59:14.8  36:08:35 2000 |  80 | u | 1.11 | 0.79 0.82    18 |   OG422 |   OB422 |P 1 V Q R|
 2074037 | 16Bm07 Jan 26 02:22:17 17 | 16BP10 F14925_1  | 11:40:08.2  41:37:48 2000 |  80 | u | 1.13 | 0.78 0.81    16 |  OG1450 |  OB1450 |P 1 V Q R|
 2074038 | 16Bm07 Jan 26 02:24:23 17 | 16BP10 F14926_1  | 11:45:16.8  41:37:48 2000 |  80 | u | 1.13 | 0.86 0.90    16 |  OG1453 |  OB1453 |P 1 V Q R|
 2074039 | 16Bm07 Jan 26 02:26:28 17 | 16BP10 F14927_1  | 11:50:25.4  41:37:48 2000 |  80 | u | 1.14 | 0.71 0.74    17 |  OG1456 |  OB1456 |P 1 V Q R|
 2074040 | 16Bm07 Jan 26 02:28:34 17 | 16BP10 F14928_1  | 11:55:34.1  41:37:48 2000 |  80 | u | 1.14 | 0.73 0.76    16 |  OG1459 |  OB1459 |P 1 V Q R|
 2074041 | 16Bm07 Jan 26 02:30:39 17 | 16BP10 F15201_1  | 11:30:06.1  42:36:00 2000 |  80 | u | 1.11 | 0.78 0.81    16 |  OG1600 |  OB1600 |P 1 V Q R|
 2074042 | 16Bm07 Jan 26 02:32:44 17 | 16BP10 F15202_1  | 11:35:19.5  42:36:00 2000 |  80 | u | 1.12 | 0.76 0.79    16 |  OG1603 |  OB1603 |P 1 V Q R|
 2074043 | 16Bm07 Jan 26 02:34:50 17 | 16BP10 F15203_1  | 11:40:32.9  42:36:00 2000 |  80 | u | 1.12 | 0.80 0.83    16 |  OG1606 |  OB1606 |P 1 V Q R|
 2074044 | 16Bm07 Jan 26 02:36:55 17 | 16BP10 F15204_1  | 11:45:46.3  42:36:00 2000 |  80 | u | 1.12 | 0.72 0.76    16 |  OG1609 |  OB1609 |P 1 V Q R|
 2074045 | 16Bm07 Jan 26 02:39:00 17 | 16BP10 F15205_1  | 11:50:59.7  42:36:00 2000 |  80 | u | 1.13 | 0.81 0.85    16 |  OG1612 |  OB1612 |P 1 V Q R|
 2074046 | 16Bm07 Jan 26 02:41:06 17 | 16BP10 F15206_1  | 11:56:13.1  42:36:00 2000 |  80 | u | 1.13 | 0.78 0.81    16 |  OG1615 |  OB1615 |P 1 V Q R|
 2074047 | 16Bm07 Jan 26 02:43:17 17 | 16BP10 F15475_1  | 11:30:33.9  43:34:12 2000 |  80 | u | 1.11 | 0.73 0.76    16 |  OG1753 |  OB1753 |P 1 V Q R|
 2074048 | 16Bm07 Jan 26 02:45:22 17 | 16BP10 F15476_1  | 11:35:52.3  43:34:12 2000 |  80 | u | 1.11 | 0.83 0.86    16 |  OG1756 |  OB1756 |P 1 V Q R|
