#   WAVELENGTH        FLUX
#------------- -----------
     3559.700      2.0342
     3559.800      2.3915
     3559.900      2.7225
     3560.000      2.6216
     3560.100      2.3200
     3560.200      1.9040
     3560.300      1.4250
     3560.400      1.2089
     3560.500      1.2217
     3560.600      1.2840
     3560.700      1.4291
     3560.800      1.6336
     3560.900      1.7463
     3561.000      1.7187
     3561.100      1.5535
     3561.200      1.4663
     3561.300      1.6595
     3561.400      1.8945
     3561.500      2.2478
     3561.600      3.0661
     3561.700      3.3567
     3561.800      2.7892
     3561.900      2.4091
     3562.000      2.4350
     3562.100      3.0258
     3562.200      3.6534
     3562.300      3.4803
     3562.400      2.7967
     3562.500      2.3330
     3562.600      2.1298
     3562.700      1.7787
     3562.800      1.4841
     3562.900      1.4466
     3563.000      1.5486
     3563.100      1.7274
     3563.200      1.8940
     3563.300      2.0146
     3563.400      2.0584
     3563.500      1.8813
     3563.600      1.7327
     3563.700      1.9027
     3563.800      2.0986
     3563.900      2.0814
     3564.000      2.0867
     3564.100      2.2158
     3564.200      2.1307
     3564.300      1.8691
     3564.400      1.8552
     3564.500      1.9044
     3564.600      1.8880
     3564.700      2.1218
     3564.800      2.8767
     3564.900      3.6822
     3565.000      3.6992
     3565.100      3.3174
     3565.200      3.1532
     3565.300      2.7464
     3565.400      2.4168
     3565.500      2.5015
     3565.600      2.1942
     3565.700      1.7101
     3565.800      1.5771
     3565.900      1.4911
     3566.000      1.3624
     3566.100      1.3637
     3566.200      1.3586
     3566.300      1.2407
     3566.400      1.1362
     3566.500      1.1464
     3566.600      1.2100
     3566.700      1.3286
     3566.800      1.5186
     3566.900      1.5683
     3567.000      1.3705
     3567.100      1.2163
     3567.200      1.2438
     3567.300      1.3082
     3567.400      1.3142
     3567.500      1.5521
     3567.600      1.8980
     3567.700      1.8325
     3567.800      1.6836
     3567.900      1.6772
     3568.000      1.4690
     3568.100      1.2374
     3568.200      1.3387
     3568.300      1.5532
     3568.400      1.5917
     3568.500      1.5537
     3568.600      1.6126
     3568.700      1.9491
     3568.800      2.5243
     3568.900      2.6991
     3569.000      2.3390
     3569.100      1.9888
     3569.200      1.8398
     3569.300      2.0987
     3569.400      2.3222
     3569.500      1.9053
     3569.600      1.5067
     3569.700      1.5297
     3569.800      1.5233
     3569.900      1.3181
     3570.000      1.1844
     3570.100      1.2412
     3570.200      1.5368
     3570.300      1.9338
     3570.400      2.2418
     3570.500      2.5621
     3570.600      2.7466
     3570.700      2.6421
     3570.800      2.3933
     3570.900      2.1625
     3571.000      1.8336
     3571.100      1.4450
     3571.200      1.2875
     3571.300      1.3607
     3571.400      1.5696
     3571.500      1.7205
     3571.600      1.3876
     3571.700     0.97892
     3571.800     0.87075
     3571.900     0.80126
     3572.000     0.71854
     3572.100     0.83319
     3572.200     0.97924
     3572.300     0.88979
     3572.400     0.83041
     3572.500     0.98641
     3572.600      1.1954
     3572.700      1.2266
     3572.800      1.0755
     3572.900     0.94035
     3573.000     0.98179
     3573.100      1.1919
     3573.200      1.5358
     3573.300      1.7769
     3573.400      1.9281
     3573.500      2.2052
     3573.600      2.2166
     3573.700      2.0518
     3573.800      2.2372
     3573.900      2.4094
     3574.000      2.2346
     3574.100      1.7918
     3574.200      1.3259
     3574.300      1.0717
     3574.400      1.0255
     3574.500      1.1039
     3574.600      1.1546
     3574.700      1.0953
     3574.800      1.1020
     3574.900      1.1683
     3575.000      1.2273
     3575.100      1.2659
     3575.200      1.3271
     3575.300      1.4916
     3575.400      1.5773
     3575.500      1.4976
     3575.600      1.3825
     3575.700      1.4702
     3575.800      1.7812
     3575.900      2.0665
     3576.000      2.1464
     3576.100      1.8934
     3576.200      1.4642
     3576.300      1.1870
     3576.400      1.1717
     3576.500      1.4931
     3576.600      2.0211
     3576.700      2.3444
     3576.800      2.0865
     3576.900      1.5592
     3577.000      1.2528
     3577.100      1.3064
     3577.200      1.5368
     3577.300      1.5510
     3577.400      1.4262
     3577.500      1.4458
     3577.600      1.4328
     3577.700      1.2603
     3577.800      1.1412
     3577.900      1.2294
     3578.000      1.4655
     3578.100      1.7192
     3578.200      1.7778
     3578.300      1.7118
     3578.400      1.7195
     3578.500      1.6567
     3578.600      1.5677
     3578.700      1.7189
     3578.800      1.9302
     3578.900      1.7567
     3579.000      1.4885
     3579.100      1.4656
     3579.200      1.6860
     3579.300      1.8446
     3579.400      1.6363
     3579.500      1.3431
     3579.600      1.2466
     3579.700      1.3036
     3579.800      1.4054
     3579.900      1.4248
     3580.000      1.4457
     3580.100      1.7601
     3580.200      2.1252
     3580.300      1.9943
     3580.400      1.6846
     3580.500      1.7465
     3580.600      1.9795
     3580.700      1.8306
     3580.800      1.4645
     3580.900      1.2587
     3581.000      1.1163
     3581.100     0.98240
     3581.200     0.91979
     3581.300     0.98634
     3581.400      1.1196
     3581.500      1.1937
     3581.600      1.2138
     3581.700      1.2176
     3581.800      1.2266
     3581.900      1.2815
     3582.000      1.2565
     3582.100      1.2214
     3582.200      1.3084
     3582.300      1.3183
     3582.400      1.2310
     3582.500      1.2997
     3582.600      1.5305
     3582.700      1.7273
     3582.800      1.7504
     3582.900      1.6789
     3583.000      1.6086
     3583.100      1.4793
     3583.200      1.3555
     3583.300      1.3125
     3583.400      1.3013
     3583.500      1.3669
     3583.600      1.6521
     3583.700      2.1522
     3583.800      2.3563
     3583.900      2.1490
     3584.000      1.9728
     3584.100      1.9208
     3584.200      1.9657
     3584.300      1.9845
     3584.400      1.8074
     3584.500      1.5934
     3584.600      1.4761
     3584.700      1.3676
     3584.800      1.2822
     3584.900      1.2398
     3585.000      1.3065
     3585.100      1.4313
     3585.200      1.4143
     3585.300      1.3604
     3585.400      1.3393
     3585.500      1.2518
     3585.600      1.1679
     3585.700      1.1708
     3585.800      1.1781
     3585.900      1.1303
     3586.000      1.0961
     3586.100      1.0553
     3586.200     0.94934
     3586.300     0.83829
     3586.400     0.87154
     3586.500      1.0262
