2867037 | 23AQ08 Mar 23 02:34:31 23 | D11 M61-1      | 12:22:21.1   4:41:25 2000 |   60 | g | 1.17 | 0.96 0.97   139 |A 3 O D|
2867038 | 23AQ08 Mar 23 02:36:16 23 | D11 M61-1      | 12:21:53.0   4:29:25 2000 |   60 | g | 1.17 | 0.98 0.98   142 |A 3 O D|
2867039 | 23AQ08 Mar 23 02:38:22 23 | D11 M61-1      | 12:20:56.9   4:25:25 2000 |   60 | g | 1.18 | 1.18 1.18   140 |A 3 O D|
2867040 | 23AQ08 Mar 23 02:40:06 23 | D11 M61-1      | 12:20:28.8   4:21:25 2000 |   60 | g | 1.19 | 1.16 1.16   141 |A 3 O D|
2867041 | 23AQ08 Mar 23 02:41:51 23 | D11 M61-1      | 12:21:00.9   4:35:25 2000 |   60 | g | 1.19 | 1.19 1.18   141 |A 3 O D|
2867109 | 23AQ08 Mar 24 22:44:14 23 | H32 P21DC52    | 11:35:26.7  -0:12:33 2000 |   90 | g | 1.11 | 1.23 1.21   956 |A 3 O D|
2867110 | 23AQ08 Mar 24 22:46:29 23 | H32 P21DC52    | 11:35:28.6  -0:13:35 2000 |   90 | g | 1.11 | 1.27 1.26   969 |A 3 O D|
2867111 | 23AQ08 Mar 24 22:48:43 23 | H32 P21DC52    | 11:35:29.5  -0:11:28 2000 |   90 | g | 1.10 | 1.31 1.31   976 |A 3 O D|
2867112 | 23AQ08 Mar 24 22:50:58 23 | H32 P21DC52    | 11:35:27.4  -0:10:34 2000 |   90 | g | 1.10 | 1.22 1.21   977 |A 3 O D|
2867113 | 23AQ08 Mar 24 22:54:14 23 | H32 P11DBYg    | 12:22:35.0  43:41:38 2000 |   60 | g | 1.18 | 1.12 1.09   552 |A 3 O D|
2867114 | 23AQ08 Mar 24 22:55:59 23 | H32 P11DBYg    | 12:22:37.7  43:40:36 2000 |   60 | g | 1.18 | 1.10 1.08   563 |A 3 O D|
2867115 | 23AQ08 Mar 24 22:57:43 23 | H32 P11DBYg    | 12:22:38.9  43:42:43 2000 |   60 | g | 1.17 | 1.01 1.00   566 |A 3 O D|
2867116 | 23AQ08 Mar 24 22:59:28 23 | H32 P11DBYg    | 12:22:36.1  43:43:37 2000 |   60 | g | 1.17 | 1.03 1.02   570 |A 3 O D|
2867117 | 23AQ08 Mar 24 23:01:12 23 | H32 P11DBXY    | 12:28:31.4  41:45:17 2000 |   40 | g | 1.16 | 0.98 0.96   385 |A 3 O D|
2867118 | 23AQ08 Mar 24 23:02:37 23 | H32 P11DBXY    | 12:28:34.0  41:44:15 2000 |   40 | g | 1.16 | 1.06 1.05   386 |A 3 O D|
2867119 | 23AQ08 Mar 24 23:04:09 23 | H32 P11DBXY    | 12:28:35.3  41:46:21 2000 |   40 | g | 1.16 | 0.96 0.94   389 |A 3 O D|
2867120 | 23AQ08 Mar 24 23:05:34 23 | H32 P11DBXY    | 12:28:32.5  41:47:16 2000 |   40 | g | 1.15 | 0.93 0.91   389 |A 3 O D|
2867121 | 23AQ08 Mar 24 23:08:19 23 | H32 P21DMn6    | 15:32:04.0  22:12:43 2000 |   40 | g | 2.29 | 1.49 1.48   584 |A 3 O D|
2867122 | 23AQ08 Mar 24 23:09:44 23 | H32 P21DMn6    | 15:32:04.6  22:12:22 2000 |   40 | g | 2.27 | 1.40 1.41   582 |A 3 O D|
2867123 | 23AQ08 Mar 24 23:11:10 23 | H32 P21DMn6    | 15:32:05.8  22:12:39 2000 |   40 | g | 2.24 | 1.51 1.49   585 |A 3 O D|
2867161 | 23AQ08 Mar 25 02:10:12 23 | D11 M61-2      | 12:21:17.0   4:34:25 2000 |   60 | g | 1.13 | 1.10 1.10   146 |A 3 O D|
2867162 | 23AQ08 Mar 25 02:11:58 23 | D11 M61-2      | 12:21:41.0   4:38:25 2000 |   60 | g | 1.13 | 1.08 1.08   144 |A 5 O D|
2867163 | 23AQ08 Mar 25 02:13:43 23 | D11 M61-2      | 12:22:13.1   4:42:25 2000 |   60 | g | 1.14 | 1.06 1.06   145 |A 3 O D|
2867164 | 23AQ08 Mar 25 02:15:27 23 | D11 M61-2      | 12:21:45.0   4:30:25 2000 |   60 | g | 1.14 | 1.07 1.07   146 |A 3 O D|
2867165 | 23AQ08 Mar 25 02:17:11 23 | D11 M61-2      | 12:20:48.9   4:26:25 2000 |   60 | g | 1.15 | 1.21 1.20   147 |A 3 O D|
2867166 | 23AQ08 Mar 25 02:18:56 23 | D11 M61-2      | 12:20:20.8   4:22:25 2000 |   60 | g | 1.15 | 1.13 1.12   149 |A 5 O D|
